Titulo;Descripcion;Categoria;latitud;longitud;fecha del hecho;provincia;hora
180;Colision vehiculo-persona;Accidente automovilistico;-25;-65;19/6/2017;Buenos Aires;23
181;Colision vehiculo-persona;Accidente automovilistico;-23;-64;22/6/2017;Buenos Aires;23
182;Colision vehiculo-persona;Accidente automovilistico;-23;-64;22/6/2017;Buenos Aires;23
183;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-65;28/6/2017;Buenos Aires;23
184;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-65;28/6/2017;Buenos Aires;23
185;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-65;30/6/2017;Buenos Aires;23
186;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-65;30/6/2017;Buenos Aires;23
187;Colision vehiculo-vehiculo;Accidente automovilistico;-46;-68;16/6/2017;Buenos Aires;23
188;Colision vehiculo-vehiculo;Accidente automovilistico;-46;-68;16/6/2017;Buenos Aires;23
189;Colision vehiculo-persona;Accidente automovilistico;-44;-70;4/6/2017;Buenos Aires;23
190;Colision vehiculo-persona;Accidente automovilistico;-44;-70;4/6/2017;Buenos Aires;23
191;Vuelco-Despistes;Accidente automovilistico;-42;-71;27/5/2017;Buenos Aires;23
192;Colision vehiculo-vehiculo;Accidente automovilistico;-43;-65;12/5/2017;Buenos Aires;23
193;Colision vehiculo-vehiculo;Accidente automovilistico;-43;-65;12/5/2017;Buenos Aires;23
194;Colision vehiculo-vehiculo;Accidente automovilistico;-43;-65;12/5/2017;Buenos Aires;23
195;Colision vehiculo-vehiculo;Accidente automovilistico;-46;-68;29/3/2017;Buenos Aires;23
196;Colision vehiculo-vehiculo;Accidente automovilistico;-46;-68;29/3/2017;Buenos Aires;23
197;Colision vehiculo-persona;Accidente automovilistico;-43;-65;5/3/2017;Buenos Aires;23
198;Colision vehiculo-persona;Accidente automovilistico;-43;-65;5/3/2017;Buenos Aires;23
199;Colision vehiculo-vehiculo;Accidente automovilistico;-46;-68;11/2/2017;Buenos Aires;23
200;Colision vehiculo-vehiculo;Accidente automovilistico;-46;-68;11/2/2017;Buenos Aires;23
201;Colision vehiculo-vehiculo;Accidente automovilistico;-46;-68;11/2/2017;Buenos Aires;23
202;Vuelco-Despistes;Accidente automovilistico;-43;-71;22/2/2017;Buenos Aires;23
203;Colision vehiculo-objeto;Accidente automovilistico;-46;-68;25/6/2017;Buenos Aires;23
204;Vuelco-Despistes;Accidente automovilistico;-26;-65;5/7/2017;Buenos Aires;23
205;Vuelco-Despistes;Accidente automovilistico;-26;-65;5/7/2017;Buenos Aires;23
206;Colision vehiculo-vehiculo;Accidente automovilistico;-43;-65;3/5/2017;Buenos Aires;23
207;Colision vehiculo-vehiculo;Accidente automovilistico;-43;-65;3/5/2017;Buenos Aires;23
208;Otro;Accidente automovilistico;-23;-64;12/7/2017;Buenos Aires;23
209;Otro;Accidente automovilistico;-23;-64;12/7/2017;Buenos Aires;23
210;Colision vehiculo-vehiculo;Accidente automovilistico;-23;-64;14/7/2017;Buenos Aires;23
211;Colision vehiculo-vehiculo;Accidente automovilistico;-23;-64;14/7/2017;Buenos Aires;23
212;Colision vehiculo-vehiculo;Accidente automovilistico;-23;-64;14/7/2017;Buenos Aires;23
213;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-64;15/7/2017;Buenos Aires;23
214;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-64;15/7/2017;Buenos Aires;23
215;Colision vehiculo-persona;Accidente automovilistico;-25;-66;23/7/2017;Buenos Aires;23
216;Colision vehiculo-persona;Accidente automovilistico;-25;-66;23/7/2017;Buenos Aires;23
217;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-65;18/7/2017;Buenos Aires;23
218;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-65;18/7/2017;Buenos Aires;23
219;Colision vehiculo-vehiculo;Accidente automovilistico;-28;-66;7/3/2017;Buenos Aires;23
220;Colision vehiculo-vehiculo;Accidente automovilistico;-28;-66;7/3/2017;Buenos Aires;23
221;Colision vehiculo-vehiculo;Accidente automovilistico;-50;-72;18/8/2017;Buenos Aires;23
222;Colision vehiculo-vehiculo;Accidente automovilistico;-50;-72;18/8/2017;Buenos Aires;23
223;Colision vehiculo-persona;Accidente automovilistico;-28;-66;21/4/2017;Buenos Aires;23
224;Colision vehiculo-persona;Accidente automovilistico;-28;-66;21/4/2017;Buenos Aires;23
225;Colision vehiculo-persona;Accidente automovilistico;-25;-65;28/7/2017;Buenos Aires;23
226;Colision vehiculo-persona;Accidente automovilistico;-25;-65;28/7/2017;Buenos Aires;23
227;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-65;30/7/2017;Buenos Aires;23
228;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-65;30/7/2017;Buenos Aires;23
229;Colision vehiculo-objeto;Accidente automovilistico;-25;-65;23/7/2017;Buenos Aires;23
230;Colision vehiculo-objeto;Accidente automovilistico;-25;-65;23/7/2017;Buenos Aires;23
231;Vuelco-Despistes;Accidente automovilistico;-47;-71;20/1/2017;Buenos Aires;23
232;Vuelco-Despistes;Accidente automovilistico;-47;-71;20/1/2017;Buenos Aires;23
233;Vuelco-Despistes;Accidente automovilistico;-47;-71;20/1/2017;Buenos Aires;23
234;Colision vehiculo-vehiculo;Accidente automovilistico;-47;-68;5/2/2017;Buenos Aires;23
235;Colision vehiculo-vehiculo;Accidente automovilistico;-47;-68;5/2/2017;Buenos Aires;23
236;Colision vehiculo-vehiculo;Accidente automovilistico;-48;-66;19/2/2017;Buenos Aires;23
237;Colision vehiculo-vehiculo;Accidente automovilistico;-48;-66;19/2/2017;Buenos Aires;23
238;Colision vehiculo-objeto;Accidente automovilistico;-52;-69;22/3/2017;Buenos Aires;23
239;Colision vehiculo-objeto;Accidente automovilistico;-52;-69;22/3/2017;Buenos Aires;23
240;Colision vehiculo-vehiculo;Accidente automovilistico;-47;-68;8/3/2017;Buenos Aires;23
241;Colision vehiculo-vehiculo;Accidente automovilistico;-47;-68;8/3/2017;Buenos Aires;23
242;Vuelco-Despistes;Accidente automovilistico;-50;-72;26/3/2017;Buenos Aires;23
243;Vuelco-Despistes;Accidente automovilistico;-50;-72;26/3/2017;Buenos Aires;23
244;Vuelco-Despistes;Accidente automovilistico;-50;-72;26/3/2017;Buenos Aires;23
245;Colision vehiculo-vehiculo;Accidente automovilistico;-52;-69;8/4/2017;Buenos Aires;23
246;Colision vehiculo-vehiculo;Accidente automovilistico;-52;-69;8/4/2017;Buenos Aires;23
247;Colision vehiculo-vehiculo;Accidente automovilistico;-52;-69;8/4/2017;Buenos Aires;23
248;Colision vehiculo-vehiculo;Accidente automovilistico;-52;-69;8/4/2017;Buenos Aires;23
249;Vuelco-Despistes;Accidente automovilistico;-47;-68;12/5/2017;Buenos Aires;23
250;Vuelco-Despistes;Accidente automovilistico;-47;-68;12/5/2017;Buenos Aires;23
251;Colision vehiculo-vehiculo;Accidente automovilistico;-50;-69;14/6/2017;Buenos Aires;23
252;Colision vehiculo-vehiculo;Accidente automovilistico;-50;-69;14/6/2017;Buenos Aires;23
253;Colision vehiculo-objeto;Accidente automovilistico;-47;-71;22/6/2017;Buenos Aires;23
254;Colision vehiculo-objeto;Accidente automovilistico;-47;-71;22/6/2017;Buenos Aires;23
255;Vuelco-Despistes;Accidente automovilistico;-50;-72;14/6/2017;Buenos Aires;23
256;Vuelco-Despistes;Accidente automovilistico;-50;-72;14/6/2017;Buenos Aires;23
257;Colision vehiculo-objeto;Accidente automovilistico;-52;-69;9/7/2017;Buenos Aires;23
258;Colision vehiculo-objeto;Accidente automovilistico;-52;-69;9/7/2017;Buenos Aires;23
259;Colision vehiculo-vehiculo;Accidente automovilistico;-31;-69;29/7/2017;Buenos Aires;23
260;Colision vehiculo-vehiculo;Accidente automovilistico;-31;-69;29/7/2017;Buenos Aires;23
261;Colision vehiculo-objeto;Accidente automovilistico;-23;-64;7/8/2017;Buenos Aires;23
262;Colision vehiculo-objeto;Accidente automovilistico;-23;-64;7/8/2017;Buenos Aires;23
263;Otro;Accidente automovilistico;-25;-65;4/8/2017;Buenos Aires;23
264;Otro;Accidente automovilistico;-25;-65;4/8/2017;Buenos Aires;23
265;Colision vehiculo-objeto;Accidente automovilistico;-25;-65;15/8/2017;Buenos Aires;23
266;Colision vehiculo-objeto;Accidente automovilistico;-25;-65;15/8/2017;Buenos Aires;23
267;Colision vehiculo-persona;Accidente automovilistico;-25;-65;18/8/2017;Buenos Aires;23
268;Colision vehiculo-persona;Accidente automovilistico;-25;-65;18/8/2017;Buenos Aires;23
269;Otro;Accidente automovilistico;-25;-65;20/8/2017;Buenos Aires;23
270;Otro;Accidente automovilistico;-25;-65;20/8/2017;Buenos Aires;23
271;Sin determinar;Accidente automovilistico;-23;-64;21/8/2017;Buenos Aires;23
272;Sin determinar;Accidente automovilistico;-23;-64;21/8/2017;Buenos Aires;23
273;Colision vehiculo-persona;Accidente automovilistico;-22;-64;23/8/2017;Buenos Aires;23
274;Colision vehiculo-persona;Accidente automovilistico;-22;-64;23/8/2017;Buenos Aires;23
275;Vuelco-Despistes;Accidente automovilistico;-22;-65;29/8/2017;Buenos Aires;23
276;Vuelco-Despistes;Accidente automovilistico;-22;-65;29/8/2017;Buenos Aires;23
277;Colision vehiculo-persona;Accidente automovilistico;-23;-64;27/8/2017;Buenos Aires;23
278;Colision vehiculo-persona;Accidente automovilistico;-23;-64;27/8/2017;Buenos Aires;23
279;Colision vehiculo-vehiculo;Accidente automovilistico;-28;-66;2/3/2017;Buenos Aires;23
280;Colision vehiculo-vehiculo;Accidente automovilistico;-28;-66;2/3/2017;Buenos Aires;23
281;Vuelco-Despistes;Accidente automovilistico;-49;-68;28/8/2017;Buenos Aires;23
282;Vuelco-Despistes;Accidente automovilistico;-49;-68;28/8/2017;Buenos Aires;23
283;Colision vehiculo-objeto;Accidente automovilistico;-32;-69;23/7/2017;Buenos Aires;23
284;Colision vehiculo-objeto;Accidente automovilistico;-32;-69;23/7/2017;Buenos Aires;23
285;Colision vehiculo-vehiculo;Accidente automovilistico;-28;-66;28/6/2017;Buenos Aires;23
286;Colision vehiculo-vehiculo;Accidente automovilistico;-28;-66;28/6/2017;Buenos Aires;23
287;Colision vehiculo-vehiculo;Accidente automovilistico;-28;-66;6/5/2017;Buenos Aires;23
288;Colision vehiculo-vehiculo;Accidente automovilistico;-28;-66;6/5/2017;Buenos Aires;23
289;Colision vehiculo-vehiculo;Accidente automovilistico;-32;-69;18/8/2017;Buenos Aires;23
290;Colision vehiculo-vehiculo;Accidente automovilistico;-32;-69;18/8/2017;Buenos Aires;23
291;Otro;Accidente automovilistico;-25;-65;3/9/2017;Buenos Aires;23
