Titulo;Descripcion;Categoria;latitud;longitud;fecha_hecho
13247;Ruta Pcial Nº 1;Colisión vehículo-persona;;;
13248;RUTA NACIONAL 11;Colisión vehículo-vehículo;-29;-60;
13248;RUTA NACIONAL 11;Colisión vehículo-vehículo;-29;-60;
13248;RUTA NACIONAL 11;Colisión vehículo-vehículo;-29;-60;
13249;RUTA NACIONAL 11;Colisión vehículo-vehículo;-29;-60;
13249;RUTA NACIONAL 11;Colisión vehículo-vehículo;-29;-60;
13250;RUTA NACIONAL A009;Colisión vehículo-vehículo;-29;-60;
13250;RUTA NACIONAL A009;Colisión vehículo-vehículo;-29;-60;
13251;CALLE 44;Colisión vehículo-vehículo;;;
13251;CALLE 44;Colisión vehículo-vehículo;;;
13252;RUTA NACIONAL Nº11;Vuelco-Despistes;;;
13252;RUTA NACIONAL Nº11;Vuelco-Despistes;;;
13253;RUTA NACIONAL Nº91;Colisión vehículo-vehículo;-33;-61;
13253;RUTA NACIONAL Nº91;Colisión vehículo-vehículo;-33;-61;
13253;RUTA NACIONAL Nº91;Colisión vehículo-vehículo;-33;-61;
13254;RUTA NAC Nº 34;Colisión vehículo-vehículo;;;
13254;RUTA NAC Nº 34;Colisión vehículo-vehículo;;;
13255;RUTA NAC Nº 34;Colisión vehículo-vehículo;;;
13255;RUTA NAC Nº 34;Colisión vehículo-vehículo;;;
13256;RUTA NAC Nº 34;Colisión vehículo-vehículo;;;
13256;RUTA NAC Nº 34;Colisión vehículo-vehículo;;;
13257;AUTOPISTA B. LOPEZ;Colisión vehículo-objeto;;;
13257;AUTOPISTA B. LOPEZ;Colisión vehículo-objeto;;;
13258;RUTA 34;Colisión vehículo-vehículo;-33;-61;
13258;RUTA 34;Colisión vehículo-vehículo;-33;-61;
13259;RUTA 11;Colisión vehículo-vehículo;-33;-61;
13259;RUTA 11;Colisión vehículo-vehículo;-33;-61;
13260;Ruta Nac nro 34;Colisión vehículo-objeto;;;
13260;Ruta Nac nro 34;Colisión vehículo-objeto;;;
13261;Ruta Pcial 32S;Colisión vehículo-objeto;;;
13261;Ruta Pcial 32S;Colisión vehículo-objeto;;;
13286;Calle 44 - 27 de Abril;Colisión vehículo-vehículo;-29;-60;
13286;Calle 44 - 27 de Abril;Colisión vehículo-vehículo;-29;-60;
13287;Bv. Peron - Ruta 40S;Colisión vehículo-vehículo;-29;-60;
13287;Bv. Peron - Ruta 40S;Colisión vehículo-vehículo;-29;-60;
13288;RUTA NAC. Nº 11;Colisión vehículo-vehículo;;;
13288;RUTA NAC. Nº 11;Colisión vehículo-vehículo;;;
13289;Ruta Pcial. N ° 14;Colisión vehículo-vehículo;-33;-61;
13289;Ruta Pcial. N ° 14;Colisión vehículo-vehículo;-33;-61;
13290;Cafferata;Colisión vehículo-vehículo;-33;-61;
13290;Cafferata;Colisión vehículo-vehículo;-33;-61;
13291;Av. Juan Domingo Perón;Colisión vehículo-vehículo;-33;-61;
13291;Av. Juan Domingo Perón;Colisión vehículo-vehículo;-33;-61;
13292;Autopista Pedro E. Aramburu;Vuelco-Despistes;;;
13292;Autopista Pedro E. Aramburu;Vuelco-Despistes;;;
13293;Av. Francia;Sin determinar;-33;-61;
13293;Av. Francia;Sin determinar;-33;-61;
13294;Bv. Rondeau;Colisión vehículo-vehículo;-33;-61;
13294;Bv. Rondeau;Colisión vehículo-vehículo;-33;-61;
13295;Ruta Pcial. N ° 21;Colisión vehículo-persona;;;
13295;Ruta Pcial. N ° 21;Colisión vehículo-persona;;;
13296;Blas Parera;Colisión vehículo-objeto;-32;-61;
13296;Blas Parera;Colisión vehículo-objeto;-32;-61;
13297;Ruta Nacional N° 33;Colisión vehículo-vehículo;;;
13297;Ruta Nacional N° 33;Colisión vehículo-vehículo;;;
13298;Santa Fe;Colisión vehículo-persona;-34;-62;
13298;Santa Fe;Colisión vehículo-persona;-34;-62;
