Titulo;Descripcion;Categoría;latitud;longitud;fecha del hecho;;;;;
141;Colisión vehículo-persona;Accidente automovilistico;-23;-64;25/4/2017;;;;;
142;Colisión vehículo-persona;Accidente automovilistico;-23;-64;25/4/2017;;;;;
143;Vuelco-Despistes;Accidente automovilistico;-25;-65;29/4/2017;;;;;
144;Vuelco-Despistes;Accidente automovilistico;-25;-65;29/4/2017;;;;;
145;Vuelco-Despistes;Accidente automovilistico;-25;-65;1/5/2017;;;;;
146;Vuelco-Despistes;Accidente automovilistico;-25;-65;1/5/2017;;;;;
147;Otro;Accidente automovilistico;-24;-64;5/5/2017;;;;;
148;Otro;Accidente automovilistico;-24;-64;5/5/2017;;;;;
149;Colisión vehículo-vehículo;Accidente automovilistico;-25;-65;15/5/2017;;;;;
150;Colisión vehículo-vehículo;Accidente automovilistico;-25;-65;15/5/2017;;;;;
151;Colisión vehículo-vehículo;Accidente automovilistico;-22;-64;28/5/2017;;;;;
152;Colisión vehículo-vehículo;Accidente automovilistico;-22;-64;28/5/2017;;;;;
153;Colisión vehículo-vehículo;Accidente automovilistico;-23;-64;28/5/2017;;;;;
154;Colisión vehículo-vehículo;Accidente automovilistico;-23;-64;28/5/2017;;;;;
155;Colisión vehículo-vehículo;Accidente automovilistico;-32;-68;3/7/2017;;;;;
156;Colisión vehículo-vehículo;Accidente automovilistico;-32;-68;3/7/2017;;;;;
157;Colisión vehículo-objeto;Accidente automovilistico;-54;-68;3/2/2017;;;;;
158;Colisión vehículo-objeto;Accidente automovilistico;-54;-68;3/2/2017;;;;;
159;Vuelco-Despistes;Accidente automovilistico;-46;-68;8/7/2017;;;;;
160;Colisión vehículo-vehículo;Accidente automovilistico;-46;-68;5/7/2017;;;;;
161;Colisión vehículo-vehículo;Accidente automovilistico;-46;-68;5/7/2017;;;;;
162;Vuelco-Despistes;Accidente automovilistico;-46;-68;29/1/2017;;;;;
163;Vuelco-Despistes;Accidente automovilistico;-46;-68;29/1/2017;;;;;
164;Vuelco-Despistes;Accidente automovilistico;-45;-69;19/1/2017;;;;;
165;Vuelco-Despistes;Accidente automovilistico;-45;-69;19/1/2017;;;;;
166;Colisión vehículo-persona;Accidente automovilistico;-25;-65;3/6/2017;;;;;
167;Colisión vehículo-persona;Accidente automovilistico;-25;-65;3/6/2017;;;;;
168;Otro;Accidente automovilistico;-25;-65;7/6/2017;;;;;
169;Otro;Accidente automovilistico;-25;-65;7/6/2017;;;;;
170;Colisión vehículo-vehículo;Accidente automovilistico;-26;-65;10/6/2017;;;;;
171;Colisión vehículo-vehículo;Accidente automovilistico;-26;-65;10/6/2017;;;;;
172;Otro;Accidente automovilistico;-23;-64;17/6/2017;;;;;
173;Otro;Accidente automovilistico;-23;-64;17/6/2017;;;;;
174;Colisión vehículo-vehículo;Accidente automovilistico;-23;-64;17/6/2017;;;;;
175;Colisión vehículo-vehículo;Accidente automovilistico;-23;-64;17/6/2017;;;;;
176;Colisión vehículo-vehículo;Accidente automovilistico;-23;-64;17/6/2017;;;;;
177;Colisión vehículo-vehículo;Accidente automovilistico;-25;-65;18/6/2017;;;;;
178;Colisión vehículo-vehículo;Accidente automovilistico;-25;-65;18/6/2017;;;;;
179;Colisión vehículo-persona;Accidente automovilistico;-25;-65;19/6/2017;;;;;
180;Colisión vehículo-persona;Accidente automovilistico;-25;-65;19/6/2017;;;;;
181;Colisión vehículo-persona;Accidente automovilistico;-23;-64;22/6/2017;;;;;
182;Colisión vehículo-persona;Accidente automovilistico;-23;-64;22/6/2017;;;;;
183;Colisión vehículo-vehículo;Accidente automovilistico;-25;-65;28/6/2017;;;;;
184;Colisión vehículo-vehículo;Accidente automovilistico;-25;-65;28/6/2017;;;;;
185;Colisión vehículo-vehículo;Accidente automovilistico;-25;-65;30/6/2017;;;;;
186;Colisión vehículo-vehículo;Accidente automovilistico;-25;-65;30/6/2017;;;;;
187;Colisión vehículo-vehículo;Accidente automovilistico;-46;-68;16/6/2017;;;;;
188;Colisión vehículo-vehículo;Accidente automovilistico;-46;-68;16/6/2017;;;;;
189;Colisión vehículo-persona;Accidente automovilistico;-44;-70;4/6/2017;;;;;
190;Colisión vehículo-persona;Accidente automovilistico;-44;-70;4/6/2017;;;;;
191;Vuelco-Despistes;Accidente automovilistico;-42;-71;27/5/2017;;;;;
192;Colisión vehículo-vehículo;Accidente automovilistico;-43;-65;12/5/2017;;;;;
193;Colisión vehículo-vehículo;Accidente automovilistico;-43;-65;12/5/2017;;;;;
194;Colisión vehículo-vehículo;Accidente automovilistico;-43;-65;12/5/2017;;;;;
195;Colisión vehículo-vehículo;Accidente automovilistico;-46;-68;29/3/2017;;;;;
196;Colisión vehículo-vehículo;Accidente automovilistico;-46;-68;29/3/2017;;;;;
197;Colisión vehículo-persona;Accidente automovilistico;-43;-65;5/3/2017;;;;;
198;Colisión vehículo-persona;Accidente automovilistico;-43;-65;5/3/2017;;;;;
199;Colisión vehículo-vehículo;Accidente automovilistico;-46;-68;11/2/2017;;;;;
200;Colisión vehículo-vehículo;Accidente automovilistico;-46;-68;11/2/2017;;;;;
201;Colisión vehículo-vehículo;Accidente automovilistico;-46;-68;11/2/2017;;;;;
202;Vuelco-Despistes;Accidente automovilistico;-43;-71;22/2/2017;;;;;
203;Colisión vehículo-objeto;Accidente automovilistico;-46;-68;25/6/2017;;;;;
204;Vuelco-Despistes;Accidente automovilistico;-26;-65;5/7/2017;;;;;
205;Vuelco-Despistes;Accidente automovilistico;-26;-65;5/7/2017;;;;;
206;Colisión vehículo-vehículo;Accidente automovilistico;-43;-65;3/5/2017;;;;;
207;Colisión vehículo-vehículo;Accidente automovilistico;-43;-65;3/5/2017;;;;;
208;Otro;Accidente automovilistico;-23;-64;12/7/2017;;;;;
209;Otro;Accidente automovilistico;-23;-64;12/7/2017;;;;;
210;Colisión vehículo-vehículo;Accidente automovilistico;-23;-64;14/7/2017;;;;;
211;Colisión vehículo-vehículo;Accidente automovilistico;-23;-64;14/7/2017;;;;;
212;Colisión vehículo-vehículo;Accidente automovilistico;-23;-64;14/7/2017;;;;;
213;Colisión vehículo-vehículo;Accidente automovilistico;-25;-64;15/7/2017;;;;;
214;Colisión vehículo-vehículo;Accidente automovilistico;-25;-64;15/7/2017;;;;;
215;Colisión vehículo-persona;Accidente automovilistico;-25;-66;23/7/2017;;;;;
216;Colisión vehículo-persona;Accidente automovilistico;-25;-66;23/7/2017;;;;;
217;Colisión vehículo-vehículo;Accidente automovilistico;-25;-65;18/7/2017;;;;;
218;Colisión vehículo-vehículo;Accidente automovilistico;-25;-65;18/7/2017;;;;;
219;Colisión vehículo-vehículo;Accidente automovilistico;-28;-66;7/3/2017;;;;;
220;Colisión vehículo-vehículo;Accidente automovilistico;-28;-66;7/3/2017;;;;;
221;Colisión vehículo-vehículo;Accidente automovilistico;-50;-72;18/8/2017;;;;;
222;Colisión vehículo-vehículo;Accidente automovilistico;-50;-72;18/8/2017;;;;;
223;Colisión vehículo-persona;Accidente automovilistico;-28;-66;21/4/2017;;;;;
224;Colisión vehículo-persona;Accidente automovilistico;-28;-66;21/4/2017;;;;;
225;Colisión vehículo-persona;Accidente automovilistico;-25;-65;28/7/2017;;;;;
226;Colisión vehículo-persona;Accidente automovilistico;-25;-65;28/7/2017;;;;;
227;Colisión vehículo-vehículo;Accidente automovilistico;-25;-65;30/7/2017;;;;;
228;Colisión vehículo-vehículo;Accidente automovilistico;-25;-65;30/7/2017;;;;;
229;Colisión vehículo-objeto;Accidente automovilistico;-25;-65;23/7/2017;;;;;
230;Colisión vehículo-objeto;Accidente automovilistico;-25;-65;23/7/2017;;;;;
231;Vuelco-Despistes;Accidente automovilistico;-47;-71;20/1/2017;;;;;
232;Vuelco-Despistes;Accidente automovilistico;-47;-71;20/1/2017;;;;;
233;Vuelco-Despistes;Accidente automovilistico;-47;-71;20/1/2017;;;;;
234;Colisión vehículo-vehículo;Accidente automovilistico;-47;-68;5/2/2017;;;;;
235;Colisión vehículo-vehículo;Accidente automovilistico;-47;-68;5/2/2017;;;;;
236;Colisión vehículo-vehículo;Accidente automovilistico;-48;-66;19/2/2017;;;;;
237;Colisión vehículo-vehículo;Accidente automovilistico;-48;-66;19/2/2017;;;;;
238;Colisión vehículo-objeto;Accidente automovilistico;-52;-69;22/3/2017;;;;;
239;Colisión vehículo-objeto;Accidente automovilistico;-52;-69;22/3/2017;;;;;
240;Colisión vehículo-vehículo;Accidente automovilistico;-47;-68;8/3/2017;;;;;
241;Colisión vehículo-vehículo;Accidente automovilistico;-47;-68;8/3/2017;;;;;
242;Vuelco-Despistes;Accidente automovilistico;-50;-72;26/3/2017;;;;;
243;Vuelco-Despistes;Accidente automovilistico;-50;-72;26/3/2017;;;;;
244;Vuelco-Despistes;Accidente automovilistico;-50;-72;26/3/2017;;;;;
245;Colisión vehículo-vehículo;Accidente automovilistico;-52;-69;8/4/2017;;;;;
246;Colisión vehículo-vehículo;Accidente automovilistico;-52;-69;8/4/2017;;;;;
247;Colisión vehículo-vehículo;Accidente automovilistico;-52;-69;8/4/2017;;;;;
248;Colisión vehículo-vehículo;Accidente automovilistico;-52;-69;8/4/2017;;;;;
249;Vuelco-Despistes;Accidente automovilistico;-47;-68;12/5/2017;;;;;
250;Vuelco-Despistes;Accidente automovilistico;-47;-68;12/5/2017;;;;;
251;Colisión vehículo-vehículo;Accidente automovilistico;-50;-69;14/6/2017;;;;;
252;Colisión vehículo-vehículo;Accidente automovilistico;-50;-69;14/6/2017;;;;;
253;Colisión vehículo-objeto;Accidente automovilistico;-47;-71;22/6/2017;;;;;
254;Colisión vehículo-objeto;Accidente automovilistico;-47;-71;22/6/2017;;;;;
255;Vuelco-Despistes;Accidente automovilistico;-50;-72;14/6/2017;;;;;
256;Vuelco-Despistes;Accidente automovilistico;-50;-72;14/6/2017;;;;;
257;Colisión vehículo-objeto;Accidente automovilistico;-52;-69;9/7/2017;;;;;
258;Colisión vehículo-objeto;Accidente automovilistico;-52;-69;9/7/2017;;;;;
259;Colisión vehículo-vehículo;Accidente automovilistico;-31;-69;29/7/2017;;;;;
260;Colisión vehículo-vehículo;Accidente automovilistico;-31;-69;29/7/2017;;;;;
261;Colisión vehículo-objeto;Accidente automovilistico;-23;-64;7/8/2017;;;;;
262;Colisión vehículo-objeto;Accidente automovilistico;-23;-64;7/8/2017;;;;;
263;Otro;Accidente automovilistico;-25;-65;4/8/2017;;;;;
264;Otro;Accidente automovilistico;-25;-65;4/8/2017;;;;;
265;Colisión vehículo-objeto;Accidente automovilistico;-25;-65;15/8/2017;;;;;
266;Colisión vehículo-objeto;Accidente automovilistico;-25;-65;15/8/2017;;;;;
267;Colisión vehículo-persona;Accidente automovilistico;-25;-65;18/8/2017;;;;;
268;Colisión vehículo-persona;Accidente automovilistico;-25;-65;18/8/2017;;;;;
269;Otro;Accidente automovilistico;-25;-65;20/8/2017;;;;;
270;Otro;Accidente automovilistico;-25;-65;20/8/2017;;;;;
271;Sin determinar;Accidente automovilistico;-23;-64;21/8/2017;;;;;
272;Sin determinar;Accidente automovilistico;-23;-64;21/8/2017;;;;;
273;Colisión vehículo-persona;Accidente automovilistico;-22;-64;23/8/2017;;;;;
274;Colisión vehículo-persona;Accidente automovilistico;-22;-64;23/8/2017;;;;;
